INFO 2025-06-10 04:48:06,268 utils 30756 5440 USER_ACTION: {'timestamp': '2025-06-10T04:48:06.262406+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:48:13,431 utils 30756 5440 USER_ACTION: {'timestamp': '2025-06-10T04:48:13.422503+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:09:10,996 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:09:10.996659+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:09:17,449 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:09:17.445039+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:12:30,251 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:12:30.242995+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:12:56,926 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:12:56.926425+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:13:08,169 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:13:08.163832+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:13:11,135 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:13:11.130725+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:13:15,080 utils 35632 20232 USER_ACTION: {'timestamp': '2025-06-10T05:13:15.072394+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 05:57:29,031 utils 22188 27084 USER_ACTION: {'timestamp': '2025-06-10T05:57:29.031930+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
